pmon_snapshot(pid,sm,mem,enc,dec,command) - sampled every 1s
#Date        Time         gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
#YYYYMMDD    HH:MM:SS     Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
 20260414    10:41:21       1    1119773     C     44     35      -      -      -      -   2124      0    python         
 20260414    10:41:22       0    1119772     C     45     35      -      -      -      -   2124      0    python         
 20260414    10:41:22       1    1119773     C     44     35      -      -      -      -   2124      0    python         
 20260414    10:41:23       0    1119772     C     48     38      -      -      -      -   2124      0    python         
 20260414    10:41:23       1    1119773     C     49     38      -      -      -      -   2124      0    python         
 20260414    10:41:24       0    1119772     C     50     39      -      -      -      -   2124      0    python         
 20260414    10:41:24       1    1119773     C     51     40      -      -      -      -   2124      0    python         
 20260414    10:41:25       0    1119772     C     49     38      -      -      -      -   2124      0    python         
 20260414    10:41:25       1    1119773     C     52     41      -      -      -      -   2124      0    python         
 20260414    10:41:26       0    1119772     C     50     39      -      -      -      -   2124      0    python         
 20260414    10:41:26       1    1119773     C     48     38      -      -      -      -   2124      0    python         
 20260414    10:41:27       0    1119772     C     53     41      -      -      -      -   2124      0    python         
 20260414    10:41:27       1    1119773     C     48     38      -      -      -      -   2124      0    python         
 20260414    10:41:28       0    1119772     C     50     40      -      -      -      -   2144      0    python         
 20260414    10:41:28       1    1119773     C     47     37      -      -      -      -   2144      0    python         
 20260414    10:41:29       0    1119772     C     45     36      -      -      -      -   2144      0    python         
 20260414    10:41:29       1    1119773     C     43     34      -      -      -      -   2144      0    python         
 20260414    10:41:31       0    1119772     C     44     35      -      -      -      -   2144      0    python         
 20260414    10:41:31       1    1119773     C     44     35      -      -      -      -   2144      0    python         
 20260414    10:41:32       0    1119772     C     43     34      -      -      -      -   2144      0    python         
 20260414    10:41:32       1    1119773     C     44     34      -      -      -      -   2144      0    python         
 20260414    10:41:33       0    1119772     C     44     35      -      -      -      -   2144      0    python         
 20260414    10:41:33       1    1119773     C     43     34      -      -      -      -   2144      0    python         
 20260414    10:41:34       0    1119772     C     46     36      -      -      -      -   2144      0    python         
 20260414    10:41:34       1    1119773     C     46     36      -      -      -      -   2144      0    python         
 20260414    10:41:35       0    1119772     C     49     39      -      -      -      -   2144      0    python         
 20260414    10:41:35       1    1119773     C     52     41      -      -      -      -   2144      0    python         
 20260414    10:41:36       0    1119772     C     50     39      -      -      -      -   2144      0    python         
 20260414    10:41:36       1    1119773     C     52     41      -      -      -      -   2144      0    python         
 20260414    10:41:37       0    1119772     C     55     43      -      -      -      -   2144      0    python         
 20260414    10:41:37       1    1119773     C     48     38      -      -      -      -   2144      0    python         
#Date        Time         gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
#YYYYMMDD    HH:MM:SS     Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
 20260414    10:41:38       0    1119772     C     54     42      -      -      -      -   2144      0    python         
 20260414    10:41:38       1    1119773     C     48     38      -      -      -      -   2144      0    python         
 20260414    10:41:39       0    1119772     C     44     36      -      -      -      -   2144      0    python         
 20260414    10:41:39       1    1119773     C     46     36      -      -      -      -   2144      0    python         
 20260414    10:41:40       0    1119772     C     46     36      -      -      -      -   2144      0    python         
 20260414    10:41:40       1    1119773     C     41     33      -      -      -      -   2144      0    python         
 20260414    10:41:41       0    1119772     C     48     37      -      -      -      -   2144      0    python         
 20260414    10:41:41       1    1119773     C     46     37      -      -      -      -   2144      0    python         
 20260414    10:41:42       0    1119772     C     46     36      -      -      -      -   2144      0    python         
 20260414    10:41:42       1    1119773     C     47     37      -      -      -      -   2144      0    python         
 20260414    10:41:43       0    1119772     C     44     35      -      -      -      -   2144      0    python         
